x,y,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text,year,country_trans,bgs_sub_commodity_trans,sdmx_code,country_iso2_code,erml_group,sdmx_translation,country_iso3_code,erml_commodity,units,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_id,quantity,concat_table_notes_text,yearbook_table_trans,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code
-73.03382599999999,-13.197341,Production,"antimony, mine",,Including Sb content of antimonial lead plus Sb content of ores for export.,1973-01-01 00:00:00,Peru,,A,PE,Antimony,Normal value,PER,"Antimony (mine production, metal production)",tonnes (metal content),-73.033826,Ores and concentrates (metal content),,-13.197341,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,686,,Mine production of antimony,821,686,a
132.72135600000001,-23.137734,Production,"antimony, mine",,Including Sb content of lead and zinc concentrates.,1973-01-01 00:00:00,Australia,,A,AU,Antimony,Normal value,AUS,"Antimony (mine production, metal production)",tonnes (metal content),132.721356,Ores and concentrates (metal content),,-23.137734,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,1546,,Mine production of antimony,821,1546,d
71.28184499999999,30.792002999999998,Production,"antimony, mine",,Estimates.,1973-01-01 00:00:00,Pakistan,,A,PK,Antimony,Normal value,PAK,"Antimony (mine production, metal production)",tonnes (metal content),71.281845,Ores and concentrates (metal content),,30.792003,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,8,,Mine production of antimony,821,8,*
-6.587161,31.846552,Production,"antimony, mine",,,1973-01-01 00:00:00,Morocco,,A,MA,Antimony,Normal value,MAR,"Antimony (mine production, metal production)",tonnes (metal content),-6.587161,Ores and concentrates (metal content),,31.846552,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,1110,,Mine production of antimony,821,1110,
14.130671999999999,47.585656,Production,"antimony, mine",,,1973-01-01 00:00:00,Austria,,A,AT,Antimony,Normal value,AUT,"Antimony (mine production, metal production)",tonnes (metal content),14.130672,Ores and concentrates (metal content),,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,577,,Mine production of antimony,821,577,
-97.834383,39.139831,Production,"antimony, mine",,,1973-01-01 00:00:00,USA,,A,US,Antimony,Normal value,USA,"Antimony (mine production, metal production)",tonnes (metal content),-97.834383,Ores and concentrates (metal content),,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,494,,Mine production of antimony,821,494,
100.982474,15.485660999999999,Production,"antimony, mine",,,1973-01-01 00:00:00,Thailand,,A,TH,Antimony,Normal value,THA,"Antimony (mine production, metal production)",tonnes (metal content),100.982474,Ores and concentrates (metal content),,15.485661,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,4217,,Mine production of antimony,821,4217,
-86.625162,14.818427999999999,Production,"antimony, mine",,,1973-01-01 00:00:00,Honduras,,A,HN,Antimony,Normal value,HND,"Antimony (mine production, metal production)",tonnes (metal content),-86.625162,Ores and concentrates (metal content),,14.818428,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,96,,Mine production of antimony,821,96,
79.282538,22.642556,Production,"antimony, mine",,,1973-01-01 00:00:00,India,,A,IN,Antimony,Normal value,IND,"Antimony (mine production, metal production)",tonnes (metal content),79.282538,Ores and concentrates (metal content),,22.642556,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,517,,Mine production of antimony,821,517,
-90.736761,15.240898,Production,"antimony, mine",,,1973-01-01 00:00:00,Guatemala,,A,GT,Antimony,Normal value,GTM,"Antimony (mine production, metal production)",tonnes (metal content),-90.736761,Ores and concentrates (metal content),,15.240898,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,962,,Mine production of antimony,821,962,
109.537431,32.216659,Production,"antimony, mine",,Estimates.,1973-01-01 00:00:00,China,,A,CN,Antimony,Normal value,CHN,"Antimony (mine production, metal production)",tonnes (metal content),109.537431,Ores and concentrates (metal content),,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,13000,,Mine production of antimony,821,13000,*
10.612941,45.366552,Production,"antimony, mine",,,1973-01-01 00:00:00,Italy,,A,IT,Antimony,Normal value,ITA,"Antimony (mine production, metal production)",tonnes (metal content),10.612941,Ores and concentrates (metal content),,45.366552,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,1358,,Mine production of antimony,821,1358,
14.4166,50.083332999999996,Production,"antimony, mine",,Estimates.,1973-01-01 00:00:00,Czechoslovakia,,A,CS,Antimony,Normal value,CSK,"Antimony (mine production, metal production)",tonnes (metal content),14.416600,Ores and concentrates (metal content),,50.083333,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,720,,Mine production of antimony,821,720,*
20.45,44.816666999999995,Production,"antimony, mine",,,1973-01-01 00:00:00,Yugoslavia,,A,YU,Antimony,Normal value,YUG,"Antimony (mine production, metal production)",tonnes (metal content),20.450000,Ores and concentrates (metal content),,44.816667,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,2055,,Mine production of antimony,821,2055,
96.111983,21.798486,Production,"antimony, mine",,,1973-01-01 00:00:00,Myanmar,,A,MM,Antimony,Normal value,MMR,"Antimony (mine production, metal production)",tonnes (metal content),96.111983,Ores and concentrates (metal content),,21.798486,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,143,,Mine production of antimony,821,143,
-101.933344,23.629557,Production,"antimony, mine",,Includes Sb content of antimonial lead.,1973-01-01 00:00:00,Mexico,,A,MX,Antimony,Normal value,MEX,"Antimony (mine production, metal production)",tonnes (metal content),-101.933344,Ores and concentrates (metal content),,23.629557,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,2388,,Mine production of antimony,821,2388,g
-119.677633,59.205383999999995,Production,"antimony, mine",,Includes Sb content of antimonial lead alloys.,1973-01-01 00:00:00,Canada,,A,CA,Antimony,Normal value,CAN,"Antimony (mine production, metal production)",tonnes (metal content),-119.677633,Ores and concentrates (metal content),,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,2400,,Mine production of antimony,821,2400,f
82.51,55.51,Production,"antimony, mine",,Estimates.,1973-01-01 00:00:00,Soviet Union,,A,SU,Antimony,Normal value,SUN,"Antimony (mine production, metal production)",tonnes (metal content),82.510000,Ores and concentrates (metal content),,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,7500,,Mine production of antimony,821,7500,*
23.214465999999998,-30.457874999999998,Production,"antimony, mine",,,1973-01-01 00:00:00,South Africa,,A,ZA,Antimony,Normal value,ZAF,"Antimony (mine production, metal production)",tonnes (metal content),23.214466,Ores and concentrates (metal content),,-30.457875,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,15780,,Mine production of antimony,821,15780,
-64.684753,-16.706875999999998,Production,"antimony, mine",,,1973-01-01 00:00:00,Bolivia,,A,BO,Antimony,Normal value,BOL,"Antimony (mine production, metal production)",tonnes (metal content),-64.684753,Ores and concentrates (metal content),,-16.706876,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,12383,,Mine production of antimony,821,12383,
33.526313,39.351717,Production,"antimony, mine",,,1973-01-01 00:00:00,Turkey,,A,TR,Antimony,Normal value,TUR,"Antimony (mine production, metal production)",tonnes (metal content),33.526313,Ores and concentrates (metal content),,39.351717,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,2700,,Mine production of antimony,821,2700,
102.186548,4.029745,Production,"antimony, mine",,,1973-01-01 00:00:00,Malaysia,,A,MY,Antimony,Normal value,MYS,"Antimony (mine production, metal production)",tonnes (metal content),102.186548,Ores and concentrates (metal content),,4.029745,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,170,,Mine production of antimony,821,170,
-3.562909,40.389544,Production,"antimony, mine",,,1973-01-01 00:00:00,Spain,,A,ES,Antimony,Normal value,ESP,"Antimony (mine production, metal production)",tonnes (metal content),-3.562909,Ores and concentrates (metal content),,40.389544,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,114,,Mine production of antimony,821,114,
14.4166,50.083332999999996,Production,"antimony, mine",,Estimates.,1974-01-01 00:00:00,Czechoslovakia,,A,CS,Antimony,Normal value,CSK,"Antimony (mine production, metal production)",tonnes (metal content),14.416600,Ores and concentrates (metal content),,50.083333,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,706,,Mine production of antimony,821,706,*
