x,y,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text,country_trans,bgs_sub_commodity_trans,sdmx_code,country_iso2_code,erml_group,sdmx_translation,country_iso3_code,erml_commodity,units,year,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,yearbook_table_id,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_trans,quantity,concat_table_notes_text,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code
20.466666999999998,44.816666999999995,Production,"magnesium metal, primary",,Estimates.,Serbia and Montenegro,,A,CS,Magnesium,Normal value,SCG,"Magnesium, primary metal",tonnes (metric),2004-01-01 00:00:00,20.466667,,,163,44.816667,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,500,,923,500,*
94.13658799999999,63.462201,Production,"magnesium metal, primary",,Estimates.,Russia,,A,RU,Magnesium,Normal value,RUS,"Magnesium, primary metal",tonnes (metric),2004-01-01 00:00:00,94.136588,,,163,63.462201,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,35000,,923,35000,*
34.658280999999995,30.719482,Production,"magnesium metal, primary",,,Israel,,A,IL,Magnesium,Normal value,ISR,"Magnesium, primary metal",tonnes (metric),2004-01-01 00:00:00,34.658281,,,163,30.719482,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,28000,,923,28000,
-119.677633,59.205383999999995,Production,"magnesium metal, primary",,Estimates.,Canada,,A,CA,Magnesium,Normal value,CAN,"Magnesium, primary metal",tonnes (metric),2004-01-01 00:00:00,-119.677633,,,163,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,40000,,923,40000,*
-49.028009999999995,-12.408957,Production,"magnesium metal, primary",,,Brazil,,A,BR,Magnesium,Normal value,BRA,"Magnesium, primary metal",tonnes (metric),2004-01-01 00:00:00,-49.028010,,,163,-12.408957,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,3000,,923,3000,
-97.834383,39.139831,Production,"magnesium metal, primary",,Estimates.,USA,,A,US,Magnesium,Normal value,USA,"Magnesium, primary metal",tonnes (metric),2004-01-01 00:00:00,-97.834383,,,163,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,30000,,923,30000,*
21.069122999999998,43.769359,Production,"magnesium metal, primary",Nil (nothing produced),,Serbia,,A,RS,Magnesium,Normal Value,SRB,"Magnesium, primary metal",tonnes (metric),2004-01-01 00:00:00,21.069123,,,163,43.769359,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,0,,923,-----,
79.282538,22.642556,Production,"magnesium metal, primary",,Estimates.,India,,A,IN,Magnesium,Normal value,IND,"Magnesium, primary metal",tonnes (metric),2004-01-01 00:00:00,79.282538,,,163,22.642556,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,200,,923,200,*
21.069122999999998,43.769359,Production,"magnesium metal, primary",Nil (nothing produced),,Serbia,,A,RS,Magnesium,Normal Value,SRB,"Magnesium, primary metal",tonnes (metric),2005-01-01 00:00:00,21.069123,,,163,43.769359,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,0,,923,-----,
79.282538,22.642556,Production,"magnesium metal, primary",,Estimates.,India,,A,IN,Magnesium,Normal value,IND,"Magnesium, primary metal",tonnes (metric),2005-01-01 00:00:00,79.282538,,,163,22.642556,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,200,,923,200,*
