x,y,country_iso3_code,erml_commodity,units,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,year,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_id,quantity,concat_table_notes_text,yearbook_table_trans,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text,country_trans,bgs_sub_commodity_trans,sdmx_code,country_iso2_code,erml_group,sdmx_translation
82.51,55.51,SUN,Graphite,tonnes (metric),82.510000,,,1972-01-01 00:00:00,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,80000,,Production of graphite,652,80000,*,Production,graphite,,Estimates.,Soviet Union,,A,SU,Graphite,Normal value
24.972941,45.853463999999995,ROU,Graphite,tonnes (metric),24.972941,,,1972-01-01 00:00:00,45.853464,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,6000,,Production of graphite,652,6000,*,Production,graphite,,Estimates.,Romania,,A,RO,Graphite,Normal value
10.262436,61.687073999999996,NOR,Graphite,tonnes (metric),10.262436,,,1972-01-01 00:00:00,61.687074,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,8538,,Production of graphite,652,8538,,Production,graphite,,,Norway,,A,NO,Graphite,Normal value
-64.247496,-31.841561,ARG,Graphite,tonnes (metric),-64.247496,,,1972-01-01 00:00:00,-31.841561,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,25,,Production of graphite,652,25,,Production,graphite,,,Argentina,,A,AR,Graphite,Normal value
-64.247496,-31.841561,ARG,Graphite,tonnes (metric),-64.247496,,,1973-01-01 00:00:00,-31.841561,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,94,,Production of graphite,652,94,,Production,graphite,,,Argentina,,A,AR,Graphite,Normal value
80.793549,7.020493,LKA,Graphite,tonnes (metric),80.793549,,,1973-01-01 00:00:00,7.020493,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,7811,,Production of graphite,652,7811,,Production,graphite,,,Sri Lanka,,A,LK,Graphite,Normal value
10.262436,61.687073999999996,NOR,Graphite,tonnes (metric),10.262436,,,1973-01-01 00:00:00,61.687074,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,6891,,Production of graphite,652,6891,,Production,graphite,,,Norway,,A,NO,Graphite,Normal value
24.972941,45.853463999999995,ROU,Graphite,tonnes (metric),24.972941,,,1973-01-01 00:00:00,45.853464,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,6000,,Production of graphite,652,6000,*,Production,graphite,,Estimates.,Romania,,A,RO,Graphite,Normal value
-101.933344,23.629557,MEX,Graphite,tonnes (metric),-101.933344,,,1973-01-01 00:00:00,23.629557,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,65392,,Production of graphite,652,65392,,Production,graphite,,,Mexico,,A,MX,Graphite,Normal value
82.51,55.51,SUN,Graphite,tonnes (metric),82.510000,,,1973-01-01 00:00:00,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,85000,,Production of graphite,652,85000,*,Production,graphite,,Estimates.,Soviet Union,,A,SU,Graphite,Normal value
96.111983,21.798486,MMR,Graphite,tonnes (metric),96.111983,,,1973-01-01 00:00:00,21.798486,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,183,,Production of graphite,652,183,c,Production,graphite,,Years ended 31 March following that stated.,Myanmar,,A,MM,Graphite,Normal value
109.537431,32.216659,CHN,Graphite,tonnes (metric),109.537431,,,1973-01-01 00:00:00,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,30000,,Production of graphite,652,30000,*,Production,graphite,,Estimates.,China,,A,CN,Graphite,Normal value
10.612941,45.366552,ITA,Graphite,tonnes (metric),10.612941,,,1973-01-01 00:00:00,45.366552,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,4150,,Production of graphite,652,4150,,Production,graphite,,,Italy,,A,IT,Graphite,Normal value
23.214465999999998,-30.457874999999998,ZAF,Graphite,tonnes (metric),23.214466,,,1973-01-01 00:00:00,-30.457875,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,1029,,Production of graphite,652,1029,,Production,graphite,,,South Africa,,A,ZA,Graphite,Normal value
127.0,40.0,PRK,Graphite,tonnes (metric),127.000000,,,1973-01-01 00:00:00,40.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,75000,,Production of graphite,652,75000,*,Production,graphite,,Estimates.,"Korea, Dem. P.R. of",,A,KP,Graphite,Normal value
46.863413,-18.771091,MDG,Graphite,tonnes (metric),46.863413,,,1973-01-01 00:00:00,-18.771091,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,13963,,Production of graphite,652,13963,d,Production,graphite,,Including flake graphite.,Madagascar,,A,MG,Graphite,Normal value
