x,y,country_iso3_code,erml_group,sdmx_translation,pole_of_inaccessibility_longitude,erml_commodity,units,year,pole_of_inaccessibility_latitude,erml_sub_commodity,concat_table_notes_code,yearbook_table_id,cgi_commodity_url,quantity,yearbook_table_trans,bgs_commodity_code,concat_table_notes_text,bgs_statistic_type_trans,bgs_commodity_trans,quantity_in_book_style,concat_figure_notes_code,country_trans,bgs_sub_commodity_trans,data_precision_description,concat_figure_notes_text,country_iso2_code,sdmx_code
132.72135600000001,-23.137734,AUS,,Normal Value,132.721356,,tonnes (metric),2020-01-01 00:00:00,-23.137734,,1,84,,0,Production of lithium minerals,20278,"In addition to the countries listed, Russia has also produced lithium minerals in the past.",Production,lithium minerals,-----,,Australia,Lithium minerals (hydroxide),Nil (nothing produced),,AU,A
132.72135600000001,-23.137734,AUS,Lithium,Normal value,132.721356,Lithium minerals,tonnes (metric),2020-01-01 00:00:00,-23.137734,Spodumene,1,84,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,1477240,Production of lithium minerals,896,"In addition to the countries listed, Russia has also produced lithium minerals in the past.",Production,lithium minerals,1477240,,Australia,Spodumene,,,AU,A
132.72135600000001,-23.137734,AUS,,Normal value,132.721356,,tonnes (metric),2020-01-01 00:00:00,-23.137734,,1,84,,41126,Production of lithium minerals,20311,"In addition to the countries listed, Russia has also produced lithium minerals in the past.",Production,lithium minerals,41126,,Australia,Spodumene (Li content),,,AU,A
-64.684753,-16.706875999999998,BOL,Lithium,Normal value,-64.684753,Lithium,tonnes (metric),2020-01-01 00:00:00,-16.706876,Carbonate,1,84,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,191,Production of lithium minerals,707,"In addition to the countries listed, Russia has also produced lithium minerals in the past.",Production,lithium minerals,191,,Bolivia,Carbonate,,,BO,A
-64.247496,-31.841561,ARG,Lithium,Normal value,-64.247496,Lithium,tonnes (metric),2020-01-01 00:00:00,-31.841561,Carbonate,1,84,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,26846,Production of lithium minerals,707,"In addition to the countries listed, Russia has also produced lithium minerals in the past.",Production,lithium minerals,26846,,Argentina,Carbonate,,,AR,A
-69.73191899999999,-26.162882999999997,CHL,Lithium,Normal value,-69.731919,Lithium,tonnes (metric),2020-01-01 00:00:00,-26.162883,Carbonate,1,84,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,114260,Production of lithium minerals,707,"In addition to the countries listed, Russia has also produced lithium minerals in the past.",Production,lithium minerals,114260,,Chile,Carbonate,,,CL,A
-49.028009999999995,-12.408957,BRA,,Normal value,-49.028010,,tonnes (metric),2020-01-01 00:00:00,-12.408957,,1,84,,1857,Production of lithium minerals,20300,"In addition to the countries listed, Russia has also produced lithium minerals in the past.",Production,lithium minerals,1857,,Brazil,Lithium minerals (Li content),,,BR,A
-119.677633,59.205383999999995,CAN,,Normal Value,-119.677633,,tonnes (metric),2020-01-01 00:00:00,59.205384,,1,84,,0,Production of lithium minerals,20300,"In addition to the countries listed, Russia has also produced lithium minerals in the past.",Production,lithium minerals,-----,*,Canada,Lithium minerals (Li content),Nil (nothing produced),Estimates.,CA,A
29.851884,-19.002536,ZWE,,Normal value,29.851884,,tonnes (metric),2020-01-01 00:00:00,-19.002536,,1,84,,397,Production of lithium minerals,20300,"In addition to the countries listed, Russia has also produced lithium minerals in the past.",Production,lithium minerals,397,,Zimbabwe,Lithium minerals (Li content),,,ZW,A
29.851884,-19.002536,ZWE,,Normal Value,29.851884,,tonnes (metric),2020-01-01 00:00:00,-19.002536,,1,84,,0,Production of lithium minerals,20311,"In addition to the countries listed, Russia has also produced lithium minerals in the past.",Production,lithium minerals,-----,,Zimbabwe,Spodumene (Li content),Nil (nothing produced),,ZW,A
