mineral,stage,hs_code_queried,hs_description,period,reporterCode,reporterISO,reporterDesc,partnerCode,partnerISO,partnerDesc,flowCode,flowDesc,cmdCode,cmdDesc,primaryValue,netWgt,grossWgt,qty,qtyUnitAbbr,cifvalue,fobvalue
nickel,primary,260400,Nickel ores and concentrates,2023,784,ARE,United Arab Emirates,0,W00,World,X,Export,260400,Nickel ores and concentrates,70151.249,,0.0,0.0,N/A,,70151.249
nickel,primary,260400,Nickel ores and concentrates,2023,784,ARE,United Arab Emirates,682,SAU,Saudi Arabia,X,Export,260400,Nickel ores and concentrates,49318.196,72.03,0.0,72.03,kg,,49318.196
nickel,primary,260400,Nickel ores and concentrates,2023,784,ARE,United Arab Emirates,764,THA,Thailand,X,Export,260400,Nickel ores and concentrates,17424.122,40300.0,0.0,40300.0,kg,,17424.122
nickel,primary,260400,Nickel ores and concentrates,2023,784,ARE,United Arab Emirates,842,USA,USA,X,Export,260400,Nickel ores and concentrates,3408.931,,0.0,0.0,N/A,,3408.931
nickel,primary,260400,Nickel ores and concentrates,2023,792,TUR,Türkiye,0,W00,World,M,Import,260400,Nickel ores and concentrates,102987.0,128520.0,0.0,128520.0,kg,102987.0,90299.45
nickel,primary,260400,Nickel ores and concentrates,2023,792,TUR,Türkiye,8,ALB,Albania,M,Import,260400,Nickel ores and concentrates,5.0,5.0,0.0,5.0,kg,5.0,4.45
nickel,primary,260400,Nickel ores and concentrates,2023,792,TUR,Türkiye,156,CHN,China,M,Import,260400,Nickel ores and concentrates,223.0,2.0,0.0,2.0,kg,223.0,192.0
nickel,primary,260400,Nickel ores and concentrates,2023,792,TUR,Türkiye,398,KAZ,Kazakhstan,M,Import,260400,Nickel ores and concentrates,102432.0,128040.0,0.0,128040.0,kg,102432.0,89860.0
nickel,primary,260400,Nickel ores and concentrates,2023,792,TUR,Türkiye,688,SRB,Serbia,M,Import,260400,Nickel ores and concentrates,327.0,473.0,0.0,473.0,kg,327.0,243.0
nickel,primary,260400,Nickel ores and concentrates,2023,804,UKR,Ukraine,0,W00,World,M,Import,260400,Nickel ores and concentrates,257311.74,7238100.0,0.0,7238100.0,kg,257311.74,
nickel,primary,260400,Nickel ores and concentrates,2023,804,UKR,Ukraine,320,GTM,Guatemala,M,Import,260400,Nickel ores and concentrates,257311.74,7238100.0,0.0,7238100.0,kg,257311.74,
nickel,primary,260400,Nickel ores and concentrates,2023,807,MKD,North Macedonia,0,W00,World,M,Import,260400,Nickel ores and concentrates,23942302.25,237289630.0,0.0,237289630.0,kg,23942302.25,
nickel,primary,260400,Nickel ores and concentrates,2023,807,MKD,North Macedonia,8,ALB,Albania,M,Import,260400,Nickel ores and concentrates,882732.86,31549400.0,0.0,31549400.0,kg,882732.86,
nickel,primary,260400,Nickel ores and concentrates,2023,807,MKD,North Macedonia,384,CIV,Côte d'Ivoire,M,Import,260400,Nickel ores and concentrates,23059569.39,205740230.0,0.0,205740230.0,kg,23059569.39,
nickel,primary,260400,Nickel ores and concentrates,2023,826,GBR,United Kingdom,0,W00,World,M,Import,260400,Nickel ores and concentrates,3189.404,3.0,0.0,3.0,kg,3189.404,
