x,y,country_iso3_code,erml_group,sdmx_translation,pole_of_inaccessibility_longitude,erml_commodity,units,year,pole_of_inaccessibility_latitude,erml_sub_commodity,concat_table_notes_code,yearbook_table_id,cgi_commodity_url,quantity,yearbook_table_trans,bgs_commodity_code,concat_table_notes_text,bgs_statistic_type_trans,bgs_commodity_trans,quantity_in_book_style,concat_figure_notes_code,country_trans,bgs_sub_commodity_trans,data_precision_description,concat_figure_notes_text,country_iso2_code,sdmx_code
23.963964999999998,-21.767426,BWA,Nickel,Normal value,23.963965,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,-21.767426,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,15442,Mine production of nickel,19951,,Production,"nickel, mine",15442,,Botswana,,,,BW,A
10.262436,61.687073999999996,NOR,Nickel,Normal value,10.262436,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,61.687074,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,508,Mine production of nickel,19951,,Production,"nickel, mine",508,,Norway,,,,NO,A
23.214465999999998,-30.457874999999998,ZAF,Nickel,Normal value,23.214466,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,-30.457875,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,25700,Mine production of nickel,19951,,Production,"nickel, mine",25700,*|c,South Africa,,,Estimates.|Refined nickel and nickel in matte.,ZA,A
27.679723,63.018750999999995,FIN,Nickel,Normal value,27.679723,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,63.018751,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,6550,Mine production of nickel,19951,,Production,"nickel, mine",6550,,Finland,,,,FI,A
82.51,55.51,SUN,Nickel,Normal value,82.510000,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,55.510000,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,143000,Mine production of nickel,19951,,Production,"nickel, mine",143000,*,Soviet Union,,,Estimates.,SU,A
29.851884,-19.002536,ZWE,Nickel,Normal value,29.851884,"Nickel, smelter/refinery",tonnes (metric),1980-01-01 00:00:00,-19.002536,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,15100,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",15100,,Zimbabwe,,,,ZW,A
164.564138,-20.661227999999998,NCL,Nickel,Normal value,164.564138,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,-20.661228,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,86592,Mine production of nickel,19951,,Production,"nickel, mine",86592,b,New Caledonia,,,Ni and Co content.,NC,A
-73.327862,3.734623,COL,Nickel,Normal Value,-73.327862,"Nickel, smelter/refinery",tonnes (metric),1980-01-01 00:00:00,3.734623,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,0,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",-----,,Colombia,,Nil (nothing produced),,CO,A
-119.677633,59.205383999999995,CAN,Nickel,Normal value,-119.677633,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,59.205384,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,184802,Mine production of nickel,19951,,Production,"nickel, mine",184802,g,Canada,,,Refined nickel and nickel in oxide and salts plus nickel in matte and concentrate exported.,CA,A
132.72135600000001,-23.137734,AUS,Nickel,Normal value,132.721356,"Nickel, smelter/refinery",tonnes (metric),1980-01-01 00:00:00,-23.137734,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,35309,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",35309,,Australia,,,,AU,A
