x,y,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text,country_trans,bgs_sub_commodity_trans,sdmx_code,country_iso2_code,erml_group,sdmx_translation,country_iso3_code,erml_commodity,units,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,year,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_id,quantity,concat_table_notes_text,yearbook_table_trans,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code
10.262436,61.687073999999996,Production,ferro-alloys,,,Norway,Ferro-silicon,A,NO,,Normal value,NOR,,tonnes (metric),10.262436,,,1971-01-01 00:00:00,61.687074,,74,242974,,Production of ferro-alloys,872,242974,
79.282538,22.642556,Production,ferro-alloys,,,India,Ferro-silicon,A,IN,,Normal value,IND,,tonnes (metric),79.282538,,,1971-01-01 00:00:00,22.642556,,74,29472,,Production of ferro-alloys,872,29472,
-69.73191899999999,-26.162882999999997,Production,ferro-alloys,,,Chile,Ferro-silico-manganese,A,CL,,Normal value,CHL,,tonnes (metric),-69.731919,,,1971-01-01 00:00:00,-26.162883,,74,2239,,Production of ferro-alloys,871,2239,
2.452177,46.620563,Production,ferro-alloys,,"Ti, W, Mo, V content of ferro-titanium, ferro-tungsten, ferro-molybdenum and ferro-vanadium.",France,"Fe-Ti, Fe-W, Fe-Mo, Fe-V",A,FR,,Normal value,FRA,,tonnes (metric),2.452177,,,1971-01-01 00:00:00,46.620563,,74,7030,,Production of ferro-alloys,873,7030,a
132.72135600000001,-23.137734,Production,ferro-alloys,,Years ended 30 November of that stated.,Australia,Ferro-nickel,A,AU,,Normal value,AUS,,tonnes (metric),132.721356,,,1971-01-01 00:00:00,-23.137734,,74,349,,Production of ferro-alloys,865,349,s
142.796275,43.46076,Production,ferro-alloys,,,Japan,Ferro-silico-manganese,A,JP,,Normal value,JPN,,tonnes (metric),142.796275,,,1971-01-01 00:00:00,43.460760,,74,325000,,Production of ferro-alloys,871,325000,
-101.933344,23.629557,Production,ferro-alloys,,,Mexico,Ferro-chrome,A,MX,,Normal value,MEX,,tonnes (metric),-101.933344,,,1971-01-01 00:00:00,23.629557,,74,1698,,Production of ferro-alloys,861,1698,
10.612941,45.366552,Production,ferro-alloys,,,Italy,Ferro-silicon,A,IT,,Normal value,ITA,,tonnes (metric),10.612941,,,1971-01-01 00:00:00,45.366552,,74,83432,,Production of ferro-alloys,872,83432,
-3.562909,40.389544,Production,ferro-alloys,,,Spain,Other ferro-alloys,A,ES,,Normal value,ESP,,tonnes (metric),-3.562909,,,1971-01-01 00:00:00,40.389544,,74,32780,,Production of ferro-alloys,877,32780,
-49.028009999999995,-12.408957,Production,ferro-alloys,,,Brazil,Ferro-silico-magnesium,A,BR,,Normal value,BRA,,tonnes (metric),-49.028010,,,1971-01-01 00:00:00,-12.408957,,74,18747,,Production of ferro-alloys,870,18747,
2.452177,46.620563,Production,ferro-alloys,,,France,Other ferro-alloys,A,FR,,Normal value,FRA,,tonnes (metric),2.452177,,,1971-01-01 00:00:00,46.620563,,74,55380,,Production of ferro-alloys,877,55380,
142.796275,43.46076,Production,ferro-alloys,,,Japan,Ferro-manganese,A,JP,,Normal value,JPN,,tonnes (metric),142.796275,,,1971-01-01 00:00:00,43.460760,,74,534000,,Production of ferro-alloys,863,534000,
10.262436,61.687073999999996,Production,ferro-alloys,,,Norway,Other ferro-alloys,A,NO,,Normal value,NOR,,tonnes (metric),10.262436,,,1971-01-01 00:00:00,61.687074,,74,9809,,Production of ferro-alloys,877,9809,
10.262436,61.687073999999996,Production,ferro-alloys,,,Norway,Ferro-chrome & ferro-silico-chrome,A,NO,,Normal value,NOR,,tonnes (metric),10.262436,,,1971-01-01 00:00:00,61.687074,,74,35550,,Production of ferro-alloys,862,35550,
79.282538,22.642556,Production,ferro-alloys,,,India,Ferro-chrome,A,IN,,Normal value,IND,,tonnes (metric),79.282538,,,1971-01-01 00:00:00,22.642556,,74,12314,,Production of ferro-alloys,861,12314,
-97.834383,39.139831,Production,ferro-alloys,,,USA,Ferro-chrome,A,US,,Normal value,USA,,tonnes (metric),-97.834383,,,1971-01-01 00:00:00,39.139831,,74,322648,,Production of ferro-alloys,861,322648,
10.262436,61.687073999999996,Production,ferro-alloys,,,Norway,Ferro-silico-manganese,A,NO,,Normal value,NOR,,tonnes (metric),10.262436,,,1971-01-01 00:00:00,61.687074,,74,140560,,Production of ferro-alloys,871,140560,
-3.562909,40.389544,Production,ferro-alloys,,,Spain,Ferro-manganese,A,ES,,Normal value,ESP,,tonnes (metric),-3.562909,,,1971-01-01 00:00:00,40.389544,,74,62800,,Production of ferro-alloys,863,62800,
